FIPS,Tract,County,State,LILATracts_Vehicle
36059300100,Census Tract 3001,Nassau County,New York,0
36059300300,Census Tract 3003,Nassau County,New York,0
36059300400,Census Tract 3004,Nassau County,New York,0
36059300500,Census Tract 3005,Nassau County,New York,0
36059300600,Census Tract 3006,Nassau County,New York,0
36059300700,Census Tract 3007,Nassau County,New York,0
36059300800,Census Tract 3008,Nassau County,New York,0
36059300900,Census Tract 3009,Nassau County,New York,0
36059301000,Census Tract 3010,Nassau County,New York,0
36059301101,Census Tract 3011.01,Nassau County,New York,0
36059301102,Census Tract 3011.02,Nassau County,New York,0
36059301200,Census Tract 3012,Nassau County,New York,0
36059301300,Census Tract 3013,Nassau County,New York,0
36059301400,Census Tract 3014,Nassau County,New York,0
36059301500,Census Tract 3015,Nassau County,New York,0
36059301600,Census Tract 3016,Nassau County,New York,0
36059301700,Census Tract 3017,Nassau County,New York,0
36059301800,Census Tract 3018,Nassau County,New York,0
36059301900,Census Tract 3019,Nassau County,New York,0
36059302000,Census Tract 3020,Nassau County,New York,0
36059302101,Census Tract 3021.01,Nassau County,New York,0
36059302102,Census Tract 3021.02,Nassau County,New York,0
36059302200,Census Tract 3022,Nassau County,New York,0
36059302300,Census Tract 3023,Nassau County,New York,0
36059302400,Census Tract 3024,Nassau County,New York,0
36059302501,Census Tract 3025.01,Nassau County,New York,0
36059302502,Census Tract 3025.02,Nassau County,New York,0
36059302600,Census Tract 3026,Nassau County,New York,0
36059302700,Census Tract 3027,Nassau County,New York,0
36059302800,Census Tract 3028,Nassau County,New York,0
36059302900,Census Tract 3029,Nassau County,New York,0
36059303000,Census Tract 3030,Nassau County,New York,0
36059303101,Census Tract 3031.01,Nassau County,New York,0
36059303102,Census Tract 3031.02,Nassau County,New York,0
36059303201,Census Tract 3032.01,Nassau County,New York,0
36059303202,Census Tract 3032.02,Nassau County,New York,0
36059303301,Census Tract 3033.01,Nassau County,New York,0
36059303302,Census Tract 3033.02,Nassau County,New York,0
36059303400,Census Tract 3034,Nassau County,New York,0
36059303500,Census Tract 3035,Nassau County,New York,0
36059303600,Census Tract 3036,Nassau County,New York,0
36059303700,Census Tract 3037,Nassau County,New York,0
36059303800,Census Tract 3038,Nassau County,New York,0
36059303900,Census Tract 3039,Nassau County,New York,0
36059304001,Census Tract 3040.01,Nassau County,New York,0
36059304002,Census Tract 3040.02,Nassau County,New York,0
36059304100,Census Tract 3041,Nassau County,New York,0
36059304202,Census Tract 3042.02,Nassau County,New York,0
36059304203,Census Tract 3042.03,Nassau County,New York,0
36059304204,Census Tract 3042.04,Nassau County,New York,0
36059404300,Census Tract 4043,Nassau County,New York,0
36059404400,Census Tract 4044,Nassau County,New York,0
36059404500,Census Tract 4045,Nassau County,New York,0
36059404600,Census Tract 4046,Nassau County,New York,0
36059404700,Census Tract 4047,Nassau County,New York,0
36059404800,Census Tract 4048,Nassau County,New York,0
36059404901,Census Tract 4049.01,Nassau County,New York,0
36059404902,Census Tract 4049.02,Nassau County,New York,1
36059405000,Census Tract 4050,Nassau County,New York,0
36059405100,Census Tract 4051,Nassau County,New York,0
36059405200,Census Tract 4052,Nassau County,New York,0
36059405301,Census Tract 4053.01,Nassau County,New York,0
36059405302,Census Tract 4053.02,Nassau County,New York,0
36059405400,Census Tract 4054,Nassau County,New York,0
36059405500,Census Tract 4055,Nassau County,New York,0
36059405600,Census Tract 4056,Nassau County,New York,0
36059405700,Census Tract 4057,Nassau County,New York,0
36059405800,Census Tract 4058,Nassau County,New York,0
36059405900,Census Tract 4059,Nassau County,New York,0
36059406001,Census Tract 4060.01,Nassau County,New York,0
36059406002,Census Tract 4060.02,Nassau County,New York,0
36059406100,Census Tract 4061,Nassau County,New York,0
36059406201,Census Tract 4062.01,Nassau County,New York,0
36059406202,Census Tract 4062.02,Nassau County,New York,0
36059406300,Census Tract 4063,Nassau County,New York,0
36059406400,Census Tract 4064,Nassau County,New York,0
36059406501,Census Tract 4065.01,Nassau County,New York,0
36059406600,Census Tract 4066,Nassau County,New York,0
36059406701,Census Tract 4067.01,Nassau County,New York,0
36059406702,Census Tract 4067.02,Nassau County,New York,0
36059406801,Census Tract 4068.01,Nassau County,New York,0
36059406802,Census Tract 4068.02,Nassau County,New York,0
36059406900,Census Tract 4069,Nassau County,New York,1
36059407000,Census Tract 4070,Nassau County,New York,0
36059407101,Census Tract 4071.01,Nassau County,New York,0
36059407102,Census Tract 4071.02,Nassau County,New York,0
36059407201,Census Tract 4072.01,Nassau County,New York,0
36059407203,Census Tract 4072.03,Nassau County,New York,0
36059407204,Census Tract 4072.04,Nassau County,New York,0
36059407301,Census Tract 4073.01,Nassau County,New York,0
36059407302,Census Tract 4073.02,Nassau County,New York,0
36059407401,Census Tract 4074.01,Nassau County,New York,0
36059407402,Census Tract 4074.02,Nassau County,New York,0
36059407501,Census Tract 4075.01,Nassau County,New York,0
36059407502,Census Tract 4075.02,Nassau County,New York,0
36059407600,Census Tract 4076,Nassau County,New York,0
36059407700,Census Tract 4077,Nassau County,New York,0
36059407801,Census Tract 4078.01,Nassau County,New York,0
36059407802,Census Tract 4078.02,Nassau County,New York,0
36059407900,Census Tract 4079,Nassau County,New York,0
36059408000,Census Tract 4080,Nassau County,New York,0
36059408100,Census Tract 4081,Nassau County,New York,0
36059408200,Census Tract 4082,Nassau County,New York,0
36059408300,Census Tract 4083,Nassau County,New York,0
36059408400,Census Tract 4084,Nassau County,New York,0
36059408500,Census Tract 4085,Nassau County,New York,0
36059408600,Census Tract 4086,Nassau County,New York,0
36059408700,Census Tract 4087,Nassau County,New York,0
36059408800,Census Tract 4088,Nassau County,New York,0
36059408900,Census Tract 4089,Nassau County,New York,0
36059409000,Census Tract 4090,Nassau County,New York,0
36059409100,Census Tract 4091,Nassau County,New York,0
36059409200,Census Tract 4092,Nassau County,New York,0
36059409300,Census Tract 4093,Nassau County,New York,0
36059409400,Census Tract 4094,Nassau County,New York,0
36059409500,Census Tract 4095,Nassau County,New York,0
36059409600,Census Tract 4096,Nassau County,New York,0
36059409700,Census Tract 4097,Nassau County,New York,0
36059409800,Census Tract 4098,Nassau County,New York,0
36059409900,Census Tract 4099,Nassau County,New York,0
36059410000,Census Tract 4100,Nassau County,New York,0
36059410100,Census Tract 4101,Nassau County,New York,0
36059410200,Census Tract 4102,Nassau County,New York,0
36059410300,Census Tract 4103,Nassau County,New York,0
36059410400,Census Tract 4104,Nassau County,New York,0
36059410500,Census Tract 4105,Nassau County,New York,0
36059410600,Census Tract 4106,Nassau County,New York,0
36059410700,Census Tract 4107,Nassau County,New York,0
36059410800,Census Tract 4108,Nassau County,New York,0
36059410900,Census Tract 4109,Nassau County,New York,0
36059411000,Census Tract 4110,Nassau County,New York,0
36059411100,Census Tract 4111,Nassau County,New York,0
36059411200,Census Tract 4112,Nassau County,New York,0
36059411301,Census Tract 4113.01,Nassau County,New York,0
36059411302,Census Tract 4113.02,Nassau County,New York,0
36059411400,Census Tract 4114,Nassau County,New York,0
36059411500,Census Tract 4115,Nassau County,New York,0
36059411600,Census Tract 4116,Nassau County,New York,0
36059411700,Census Tract 4117,Nassau County,New York,0
36059411800,Census Tract 4118,Nassau County,New York,0
36059411901,Census Tract 4119.01,Nassau County,New York,0
36059411902,Census Tract 4119.02,Nassau County,New York,0
36059412000,Census Tract 4120,Nassau County,New York,0
36059412100,Census Tract 4121,Nassau County,New York,0
36059412200,Census Tract 4122,Nassau County,New York,0
36059412301,Census Tract 4123.01,Nassau County,New York,0
36059412302,Census Tract 4123.02,Nassau County,New York,0
36059412400,Census Tract 4124,Nassau County,New York,0
36059412500,Census Tract 4125,Nassau County,New York,0
36059412600,Census Tract 4126,Nassau County,New York,0
36059412700,Census Tract 4127,Nassau County,New York,0
36059412800,Census Tract 4128,Nassau County,New York,0
36059412900,Census Tract 4129,Nassau County,New York,0
36059413001,Census Tract 4130.01,Nassau County,New York,0
36059413002,Census Tract 4130.02,Nassau County,New York,0
36059413100,Census Tract 4131,Nassau County,New York,0
36059413200,Census Tract 4132,Nassau County,New York,0
36059413300,Census Tract 4133,Nassau County,New York,0
36059413400,Census Tract 4134,Nassau County,New York,0
36059413500,Census Tract 4135,Nassau County,New York,0
36059413600,Census Tract 4136,Nassau County,New York,0
36059413700,Census Tract 4137,Nassau County,New York,0
36059413803,Census Tract 4138.03,Nassau County,New York,0
36059413804,Census Tract 4138.04,Nassau County,New York,0
36059413900,Census Tract 4139,Nassau County,New York,0
36059414001,Census Tract 4140.01,Nassau County,New York,0
36059414002,Census Tract 4140.02,Nassau County,New York,0
36059414100,Census Tract 4141,Nassau County,New York,0
36059414201,Census Tract 4142.01,Nassau County,New York,0
36059414202,Census Tract 4142.02,Nassau County,New York,0
36059414301,Census Tract 4143.01,Nassau County,New York,0
36059414303,Census Tract 4143.03,Nassau County,New York,0
36059414304,Census Tract 4143.04,Nassau County,New York,0
36059414400,Census Tract 4144,Nassau County,New York,0
36059414501,Census Tract 4145.01,Nassau County,New York,0
36059414502,Census Tract 4145.02,Nassau County,New York,0
36059414600,Census Tract 4146,Nassau County,New York,0
36059414700,Census Tract 4147,Nassau County,New York,0
36059414800,Census Tract 4148,Nassau County,New York,0
36059414900,Census Tract 4149,Nassau County,New York,0
36059415000,Census Tract 4150,Nassau County,New York,0
36059415101,Census Tract 4151.01,Nassau County,New York,0
36059415102,Census Tract 4151.02,Nassau County,New York,0
36059415201,Census Tract 4152.01,Nassau County,New York,0
36059415202,Census Tract 4152.02,Nassau County,New York,0
36059415300,Census Tract 4153,Nassau County,New York,0
36059415401,Census Tract 4154.01,Nassau County,New York,0
36059415402,Census Tract 4154.02,Nassau County,New York,0
36059415500,Census Tract 4155,Nassau County,New York,0
36059415600,Census Tract 4156,Nassau County,New York,0
36059415700,Census Tract 4157,Nassau County,New York,0
36059415802,Census Tract 4158.02,Nassau County,New York,0
36059416000,Census Tract 4160,Nassau County,New York,0
36059416100,Census Tract 4161,Nassau County,New York,0
36059416201,Census Tract 4162.01,Nassau County,New York,0
36059416202,Census Tract 4162.02,Nassau County,New York,0
36059416300,Census Tract 4163,Nassau County,New York,0
36059416401,Census Tract 4164.01,Nassau County,New York,0
36059416402,Census Tract 4164.02,Nassau County,New York,0
36059416500,Census Tract 4165,Nassau County,New York,0
36059416600,Census Tract 4166,Nassau County,New York,0
36059416701,Census Tract 4167.01,Nassau County,New York,0
36059416702,Census Tract 4167.02,Nassau County,New York,0
36059416801,Census Tract 4168.01,Nassau County,New York,0
36059416802,Census Tract 4168.02,Nassau County,New York,0
36059416900,Census Tract 4169,Nassau County,New York,0
36059517000,Census Tract 5170,Nassau County,New York,0
36059517101,Census Tract 5171.01,Nassau County,New York,0
36059517102,Census Tract 5171.02,Nassau County,New York,0
36059517200,Census Tract 5172,Nassau County,New York,0
36059517301,Census Tract 5173.01,Nassau County,New York,0
36059517302,Census Tract 5173.02,Nassau County,New York,0
36059517400,Census Tract 5174,Nassau County,New York,0
36059517500,Census Tract 5175,Nassau County,New York,0
36059517600,Census Tract 5176,Nassau County,New York,0
36059517701,Census Tract 5177.01,Nassau County,New York,0
36059517705,Census Tract 5177.05,Nassau County,New York,0
36059517801,Census Tract 5178.01,Nassau County,New York,0
36059517802,Census Tract 5178.02,Nassau County,New York,0
36059517901,Census Tract 5179.01,Nassau County,New York,0
36059517902,Census Tract 5179.02,Nassau County,New York,0
36059518000,Census Tract 5180,Nassau County,New York,0
36059518100,Census Tract 5181,Nassau County,New York,0
36059518201,Census Tract 5182.01,Nassau County,New York,0
36059518203,Census Tract 5182.03,Nassau County,New York,0
36059518204,Census Tract 5182.04,Nassau County,New York,0
36059518300,Census Tract 5183,Nassau County,New York,0
36059518400,Census Tract 5184,Nassau County,New York,0
36059518501,Census Tract 5185.01,Nassau County,New York,0
36059518502,Census Tract 5185.02,Nassau County,New York,0
36059518600,Census Tract 5186,Nassau County,New York,0
36059518700,Census Tract 5187,Nassau County,New York,0
36059518800,Census Tract 5188,Nassau County,New York,0
36059518900,Census Tract 5189,Nassau County,New York,0
36059519000,Census Tract 5190,Nassau County,New York,0
36059519100,Census Tract 5191,Nassau County,New York,0
36059519200,Census Tract 5192,Nassau County,New York,0
36059519300,Census Tract 5193,Nassau County,New York,0
36059519400,Census Tract 5194,Nassau County,New York,0
36059519500,Census Tract 5195,Nassau County,New York,0
36059519601,Census Tract 5196.01,Nassau County,New York,0
36059519602,Census Tract 5196.02,Nassau County,New York,0
36059519702,Census Tract 5197.02,Nassau County,New York,0
36059519703,Census Tract 5197.03,Nassau County,New York,0
36059519704,Census Tract 5197.04,Nassau County,New York,0
36059519801,Census Tract 5198.01,Nassau County,New York,0
36059519802,Census Tract 5198.02,Nassau County,New York,0
36059519900,Census Tract 5199,Nassau County,New York,0
36059520001,Census Tract 5200.01,Nassau County,New York,0
36059520002,Census Tract 5200.02,Nassau County,New York,0
36059520100,Census Tract 5201,Nassau County,New York,0
36059520200,Census Tract 5202,Nassau County,New York,0
36059520300,Census Tract 5203,Nassau County,New York,0
36059520401,Census Tract 5204.01,Nassau County,New York,0
36059520402,Census Tract 5204.02,Nassau County,New York,0
36059520501,Census Tract 5205.01,Nassau County,New York,0
36059520502,Census Tract 5205.02,Nassau County,New York,0
36059520600,Census Tract 5206,Nassau County,New York,0
36059520700,Census Tract 5207,Nassau County,New York,0
36059520800,Census Tract 5208,Nassau County,New York,0
36059520900,Census Tract 5209,Nassau County,New York,0
36059521000,Census Tract 5210,Nassau County,New York,0
36059521100,Census Tract 5211,Nassau County,New York,0
36059521200,Census Tract 5212,Nassau County,New York,0
36059521301,Census Tract 5213.01,Nassau County,New York,0
36059521302,Census Tract 5213.02,Nassau County,New York,0
36059521400,Census Tract 5214,Nassau County,New York,0
36059521500,Census Tract 5215,Nassau County,New York,0
36059521601,Census Tract 5216.01,Nassau County,New York,0
36059521602,Census Tract 5216.02,Nassau County,New York,0
36059521700,Census Tract 5217,Nassau County,New York,0
36059521801,Census Tract 5218.01,Nassau County,New York,0
36059521802,Census Tract 5218.02,Nassau County,New York,0
36059521902,Census Tract 5219.02,Nassau County,New York,0
36059522000,Census Tract 5220,Nassau County,New York,0
36059522700,Census Tract 5227,Nassau County,New York,0
36059980100,Census Tract 9801,Nassau County,New York,0
36059981100,Census Tract 9811,Nassau County,New York,0
36059982100,Census Tract 9821,Nassau County,New York,0
36103110101,Census Tract 1101.01,Suffolk County,New York,0
36103110102,Census Tract 1101.02,Suffolk County,New York,0
36103110200,Census Tract 1102,Suffolk County,New York,0
36103110300,Census Tract 1103,Suffolk County,New York,0
36103110401,Census Tract 1104.01,Suffolk County,New York,0
36103110402,Census Tract 1104.02,Suffolk County,New York,0
36103110501,Census Tract 1105.01,Suffolk County,New York,0
36103110502,Census Tract 1105.02,Suffolk County,New York,0
36103110600,Census Tract 1106,Suffolk County,New York,0
36103110801,Census Tract 1108.01,Suffolk County,New York,0
36103110803,Census Tract 1108.03,Suffolk County,New York,0
36103110901,Census Tract 1109.01,Suffolk County,New York,0
36103110902,Census Tract 1109.02,Suffolk County,New York,0
36103111001,Census Tract 1110.01,Suffolk County,New York,0
36103111002,Census Tract 1110.02,Suffolk County,New York,0
36103111100,Census Tract 1111,Suffolk County,New York,0
36103111201,Census Tract 1112.01,Suffolk County,New York,0
36103111202,Census Tract 1112.02,Suffolk County,New York,0
36103111300,Census Tract 1113,Suffolk County,New York,0
36103111401,Census Tract 1114.01,Suffolk County,New York,0
36103111402,Census Tract 1114.02,Suffolk County,New York,0
36103111503,Census Tract 1115.03,Suffolk County,New York,0
36103111504,Census Tract 1115.04,Suffolk County,New York,0
36103111505,Census Tract 1115.05,Suffolk County,New York,0
36103111506,Census Tract 1115.06,Suffolk County,New York,0
36103111601,Census Tract 1116.01,Suffolk County,New York,0
36103111602,Census Tract 1116.02,Suffolk County,New York,0
