FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
36059416500,Nassau County,New York,77.4,86.0,72.4,13.2,31.4,27.3,15.4,36.0,6.0,14.9,10.3,14.2,15.8,11.2,29.8,77.6,5.1,2.9,3.0,10.3,5.4,12.2,79.1,65.9
36059416600,Nassau County,New York,76.6,88.1,75.6,10.7,26.7,20.2,17.2,31.7,7.3,10.1,8.6,12.3,16.4,8.6,27.6,78.4,5.0,2.4,2.6,9.3,4.9,7.6,79.0,74.8
36059416701,Nassau County,New York,76.9,87.3,73.0,11.6,28.2,22.3,16.8,32.8,6.9,11.4,9.2,13.1,16.8,9.0,27.6,77.6,5.0,2.5,2.7,9.6,5.2,9.0,78.6,72.0
36059416702,Nassau County,New York,76.6,87.8,74.5,12.1,28.6,22.3,16.8,32.8,7.2,11.4,9.3,13.4,17.4,9.0,28.2,77.9,5.3,2.5,2.8,9.8,5.5,9.2,78.7,71.5
36059416801,Nassau County,New York,76.4,88.7,74.2,11.4,27.8,19.9,17.5,32.1,7.1,10.1,8.9,12.8,17.2,8.4,27.5,77.7,4.8,2.3,2.5,9.6,5.2,7.5,79.1,75.2
36059416802,Nassau County,New York,76.4,87.8,75.7,11.9,27.8,21.9,16.6,32.1,7.9,11.3,9.5,13.1,17.4,9.1,29.2,79.1,5.6,2.7,2.9,9.8,5.8,9.0,79.3,72.8
36059416900,Nassau County,New York,77.5,89.4,78.1,8.5,25.4,18.3,15.0,29.1,9.5,9.4,8.5,10.5,15.4,9.2,31.3,82.2,6.0,2.7,3.0,9.1,5.2,6.1,82.2,79.3
36059517000,Nassau County,New York,76.6,86.8,75.4,10.8,26.8,23.0,14.4,31.4,8.4,12.1,9.7,11.8,15.5,10.8,32.0,82.0,6.3,3.0,3.1,9.4,6.0,8.6,81.2,73.4
36059517101,Nassau County,New York,76.1,85.4,71.3,13.5,30.3,26.0,16.8,34.7,5.8,13.7,10.1,14.4,16.8,9.7,27.0,75.7,4.9,2.5,2.7,10.0,5.4,11.6,77.5,67.1
36059517102,Nassau County,New York,74.5,86.3,75.0,11.1,25.2,24.2,14.5,31.2,9.3,12.5,9.9,11.9,15.6,9.9,31.7,81.8,6.7,3.3,3.4,9.3,6.3,10.2,80.9,73.1
36059517200,Nassau County,New York,75.6,83.2,68.2,17.4,33.4,32.6,15.4,36.9,5.6,18.9,12.3,16.2,17.5,12.0,29.7,75.9,5.8,3.1,3.1,10.7,6.9,17.4,76.9,58.1
36059517301,Nassau County,New York,75.7,86.0,73.1,11.9,28.4,26.4,14.6,32.5,8.2,14.1,10.6,12.8,15.8,11.0,31.6,80.8,6.6,3.2,3.4,9.6,6.4,11.4,80.0,69.1
36059517302,Nassau County,New York,74.7,85.4,71.3,14.4,30.0,27.7,15.3,33.5,7.3,15.3,11.3,14.3,17.3,11.0,30.7,79.0,6.5,3.1,3.2,10.1,7.0,13.3,78.6,65.7
36059517400,Nassau County,New York,78.0,89.2,75.2,9.7,26.9,18.4,16.5,30.8,7.6,9.5,8.4,11.8,16.5,8.5,28.2,79.0,5.0,2.3,2.6,9.5,4.9,6.6,80.2,77.2
36059517500,Nassau County,New York,76.4,88.6,75.7,10.3,26.6,20.0,16.0,31.0,8.1,10.1,8.8,11.7,16.2,8.9,29.2,79.9,5.4,2.5,2.8,9.4,5.2,7.4,80.4,76.5
36059517600,Nassau County,New York,76.2,88.3,75.9,10.5,26.6,20.4,15.9,31.0,8.1,10.4,8.9,11.9,16.3,9.0,29.2,79.9,5.4,2.6,2.8,9.4,5.4,7.7,80.3,75.8
36059517701,Nassau County,New York,77.6,87.4,75.9,8.6,24.2,18.8,14.8,30.6,7.6,9.1,7.8,10.5,14.4,9.3,28.8,80.5,5.1,2.4,2.6,8.7,4.4,5.8,80.8,77.7
36059517705,Nassau County,New York,78.4,89.3,75.3,7.6,24.7,16.5,16.0,30.0,7.3,7.8,7.2,10.3,14.7,8.2,27.1,79.4,4.4,2.1,2.4,8.9,3.9,4.6,80.8,80.4
36059517801,Nassau County,New York,77.9,89.4,77.8,7.9,24.9,17.2,15.3,29.0,8.7,8.7,7.9,10.2,15.0,8.7,29.7,81.2,5.4,2.4,2.8,9.0,4.6,5.3,81.7,80.1
36059517802,Nassau County,New York,76.4,88.2,73.2,11.9,28.6,22.0,16.8,32.8,7.0,11.4,9.3,13.0,16.8,8.9,27.9,77.5,5.1,2.5,2.7,9.7,5.3,9.2,78.8,72.5
36059517901,Nassau County,New York,76.6,88.4,76.0,10.6,27.3,19.9,16.2,31.3,8.1,10.2,9.0,12.1,16.6,9.1,29.6,80.0,5.5,2.6,2.8,9.5,5.4,7.3,80.4,76.2
36059517902,Nassau County,New York,76.6,88.1,74.7,12.0,27.9,20.9,17.0,32.3,7.5,10.8,9.3,12.8,17.1,8.8,28.7,78.5,5.2,2.5,2.7,9.7,5.6,8.3,79.4,74.5
36059518000,Nassau County,New York,76.1,87.1,73.9,12.0,28.2,23.5,16.1,32.6,7.7,12.1,9.7,13.0,16.6,9.5,29.4,79.2,5.7,2.8,2.9,9.7,5.8,9.9,79.3,71.6
36059518100,Nassau County,New York,77.3,88.8,75.7,9.9,26.4,19.0,16.4,31.0,7.9,9.4,8.4,11.7,16.3,8.4,28.4,79.4,5.2,2.4,2.7,9.3,4.9,6.8,80.2,77.1
36059518201,Nassau County,New York,78.2,89.0,76.4,8.5,24.9,17.6,15.7,30.0,7.9,8.7,7.8,10.6,15.1,8.6,28.5,80.0,5.0,2.3,2.6,9.0,4.4,5.6,80.8,79.1
36059518203,Nassau County,New York,74.8,86.8,74.7,8.8,22.6,23.1,12.4,29.2,10.8,11.6,9.3,10.1,13.6,10.1,33.8,84.1,7.3,3.5,3.7,8.6,6.0,9.3,82.8,75.7
36059518204,Nassau County,New York,77.7,89.8,77.8,7.3,23.8,16.8,15.0,28.7,8.8,8.0,7.4,9.8,14.5,8.3,29.0,81.4,5.2,2.4,2.7,8.7,4.2,4.9,81.8,81.0
36059518300,Nassau County,New York,76.2,86.8,75.0,9.4,24.0,19.8,14.9,31.2,7.5,9.6,8.0,10.9,14.6,9.1,28.0,79.7,5.0,2.4,2.6,8.8,4.6,6.7,80.1,76.1
36059518400,Nassau County,New York,76.8,87.1,75.6,8.4,23.0,18.1,15.4,30.6,7.1,8.5,7.3,10.4,14.3,8.4,26.5,79.1,4.4,2.1,2.4,8.5,4.0,5.7,79.9,78.0
36059518501,Nassau County,New York,77.2,87.0,75.8,8.1,23.1,19.6,13.3,30.1,8.6,9.6,8.0,10.0,13.7,9.7,30.4,82.1,5.7,2.7,3.0,8.6,4.7,6.3,81.7,77.3
36059518502,Nassau County,New York,76.3,84.4,73.4,9.9,23.3,21.2,14.6,32.9,6.5,9.9,7.9,11.2,14.0,9.2,26.6,78.5,4.5,2.2,2.5,8.6,4.3,7.3,79.2,73.8
36059518600,Nassau County,New York,78.2,88.0,76.1,7.5,22.8,17.4,14.8,30.0,7.3,8.0,7.1,10.0,13.8,8.4,26.9,79.8,4.5,2.1,2.4,8.4,3.8,5.1,80.6,79.2
36059518700,Nassau County,New York,76.8,86.3,75.1,8.7,22.7,19.4,14.6,31.2,7.3,8.9,7.5,10.4,13.8,8.8,27.2,79.6,4.7,2.3,2.5,8.4,4.2,6.3,80.1,76.8
36059518800,Nassau County,New York,77.4,87.7,76.1,8.5,23.4,18.2,15.6,30.8,7.3,8.5,7.5,10.6,14.5,8.4,26.7,79.0,4.6,2.2,2.5,8.7,4.1,5.9,80.0,78.1
36059518900,Nassau County,New York,75.9,83.7,72.4,11.2,25.3,24.1,15.6,34.4,6.2,11.6,8.6,12.3,14.1,9.4,26.7,77.5,4.7,2.4,2.6,8.9,4.6,9.4,78.1,70.2
36059519000,Nassau County,New York,75.3,84.8,73.5,11.9,25.8,23.0,16.2,33.7,6.6,11.1,8.9,12.8,15.7,9.0,26.9,77.7,4.8,2.4,2.5,9.2,5.1,8.9,78.3,71.8
36059519100,Nassau County,New York,74.8,84.1,72.3,13.0,26.4,25.0,15.5,33.7,7.0,12.5,9.7,13.2,16.1,9.8,28.6,78.8,5.5,2.7,2.8,9.4,5.8,10.6,78.6,69.7
36059519200,Nassau County,New York,75.1,84.9,72.1,11.1,25.2,23.0,15.5,32.8,7.0,11.1,8.8,12.2,15.1,9.3,27.6,78.7,5.1,2.5,2.7,9.0,5.0,8.9,78.9,72.1
36059519300,Nassau County,New York,75.8,83.3,71.7,11.3,24.9,23.3,16.1,33.7,5.7,11.1,8.3,12.6,14.8,8.9,25.1,76.1,4.4,2.2,2.4,8.8,4.4,9.1,77.2,70.1
36059519400,Nassau County,New York,75.5,85.8,75.1,10.6,24.4,21.6,15.9,32.4,7.4,10.2,8.4,11.7,15.0,8.7,27.6,78.9,5.1,2.5,2.7,8.8,4.8,8.0,79.1,74.3
36059519500,Nassau County,New York,75.7,85.2,74.1,10.9,24.6,22.4,15.5,32.4,7.3,10.8,8.7,11.9,15.0,9.1,27.7,79.0,5.1,2.5,2.7,8.9,5.1,8.7,79.0,73.1
36059519601,Nassau County,New York,77.2,88.0,76.0,8.9,24.2,19.1,15.6,30.6,7.7,9.1,7.8,11.0,15.0,8.4,27.6,79.5,5.0,2.4,2.6,8.8,4.5,6.7,80.0,77.1
36059519602,Nassau County,New York,77.6,89.3,76.6,8.3,24.5,16.7,16.6,29.9,7.5,8.1,7.4,10.8,15.4,7.6,26.4,78.5,4.5,2.1,2.4,9.0,4.1,5.5,80.0,79.7
36059519702,Nassau County,New York,76.5,88.7,76.4,8.5,24.6,18.9,14.9,29.5,8.9,9.2,8.2,10.4,14.8,8.9,30.2,81.6,5.7,2.6,2.9,8.8,4.8,6.5,81.5,78.4
36059519703,Nassau County,New York,77.4,88.5,76.1,8.6,24.0,17.6,16.3,30.3,7.5,8.3,7.4,10.6,14.8,7.9,26.6,78.8,4.6,2.2,2.4,8.7,4.1,6.0,79.9,78.7
36059519704,Nassau County,New York,76.5,88.4,77.1,9.5,25.0,19.1,15.6,30.5,8.2,9.5,8.2,11.1,15.5,8.8,28.9,80.1,5.3,2.5,2.8,9.0,4.9,6.5,80.5,77.3
36059519801,Nassau County,New York,76.2,86.8,75.7,9.9,24.2,20.1,15.8,31.1,7.6,9.8,8.2,11.5,15.3,8.6,27.6,79.2,5.1,2.5,2.7,9.0,4.8,7.5,79.5,75.6
36059519802,Nassau County,New York,76.6,88.0,75.6,9.6,24.9,19.8,15.6,30.9,8.3,9.7,8.4,11.2,15.4,8.8,28.9,80.1,5.4,2.6,2.8,9.0,4.9,7.2,80.4,76.7
36059519900,Nassau County,New York,75.8,88.2,76.0,10.2,25.5,19.5,16.6,31.1,7.8,9.5,8.3,11.7,16.0,8.3,27.7,79.0,5.1,2.4,2.6,9.2,4.9,7.2,79.7,76.5
36059520001,Nassau County,New York,73.3,87.2,76.0,11.4,26.0,23.7,14.9,31.3,9.3,12.1,9.8,12.1,16.0,9.7,31.7,81.6,6.7,3.2,3.3,9.3,6.3,10.1,80.6,72.9
36059520002,Nassau County,New York,75.6,87.5,74.3,10.9,26.4,20.5,17.2,31.6,7.3,10.1,8.6,12.7,16.7,8.3,27.1,78.1,4.9,2.4,2.6,9.5,5.0,8.0,79.0,75.0
36059520100,Nassau County,New York,76.5,88.6,75.9,9.5,25.4,18.9,16.1,30.5,8.2,9.2,8.2,11.3,15.7,8.4,28.5,79.7,5.2,2.4,2.7,9.1,4.8,6.8,80.3,77.5
36059520200,Nassau County,New York,76.3,88.0,75.0,10.8,25.8,19.5,18.2,32.1,6.7,9.3,8.0,12.6,16.5,7.5,25.2,76.2,4.4,2.1,2.4,9.2,4.5,7.5,78.1,75.6
36059520300,Nassau County,New York,75.6,87.4,74.0,12.4,27.3,22.0,17.3,32.7,7.3,10.8,9.2,13.1,16.9,8.5,27.8,78.0,5.1,2.5,2.6,9.5,5.4,9.0,78.7,73.3
36059520401,Nassau County,New York,77.1,86.8,74.0,11.4,27.3,21.6,17.0,32.4,6.8,10.9,8.9,12.8,16.5,8.7,27.0,77.4,4.8,2.4,2.6,9.5,5.1,8.5,78.4,72.8
36059520402,Nassau County,New York,75.1,86.3,72.4,13.5,28.3,24.8,16.3,33.6,7.6,12.6,10.1,13.6,17.0,9.4,29.5,78.7,5.6,2.8,2.9,9.7,6.1,11.1,78.9,70.1
36059520501,Nassau County,New York,75.1,87.3,73.7,11.8,26.9,21.5,17.7,32.9,7.0,10.4,8.8,13.1,16.7,8.2,26.7,77.2,4.9,2.4,2.6,9.4,5.0,8.7,78.3,73.5
36059520502,Nassau County,New York,75.8,87.8,75.0,11.3,26.8,20.9,16.9,32.0,7.8,10.4,9.0,12.8,16.9,8.7,28.5,78.9,5.4,2.6,2.8,9.5,5.4,8.5,79.3,74.5
36059520600,Nassau County,New York,75.2,87.3,72.7,12.5,28.1,22.9,16.9,33.2,7.1,11.5,9.4,13.3,16.8,9.1,28.2,77.9,5.3,2.5,2.7,9.6,5.5,9.7,78.7,71.8
36059520700,Nassau County,New York,75.8,88.3,74.2,12.1,27.2,21.3,17.4,32.3,7.5,10.6,9.1,13.0,17.2,8.3,27.8,78.1,5.2,2.5,2.7,9.6,5.4,8.9,78.9,74.1
36059520800,Nassau County,New York,75.7,88.1,75.0,11.6,26.9,20.7,17.3,32.1,7.6,10.3,8.9,12.8,17.0,8.2,27.7,78.1,5.1,2.5,2.7,9.5,5.3,8.7,79.1,74.7
36059520900,Nassau County,New York,76.4,88.2,75.3,11.1,26.6,19.6,17.7,31.8,7.4,9.7,8.6,12.8,17.2,7.9,27.0,77.7,4.9,2.3,2.6,9.5,5.0,7.9,78.9,75.8
36059521000,Nassau County,New York,74.9,87.9,74.4,12.1,27.2,21.5,17.2,32.4,7.9,10.8,9.3,13.0,17.2,8.6,28.7,78.8,5.5,2.6,2.8,9.5,5.7,9.0,79.2,73.9
36059521100,Nassau County,New York,76.2,88.4,74.9,11.2,27.0,19.9,17.4,31.8,7.6,9.9,8.8,12.7,17.2,8.1,27.7,78.1,5.1,2.4,2.6,9.6,5.2,7.9,79.2,75.6
36059521200,Nassau County,New York,76.6,88.2,74.7,11.2,26.9,20.0,17.5,31.9,7.5,9.9,8.7,12.8,17.0,8.2,27.6,78.1,5.1,2.4,2.6,9.5,5.1,8.0,79.1,75.4
36059521301,Nassau County,New York,76.2,88.6,75.3,10.8,26.7,19.5,17.7,31.7,7.6,9.5,8.5,12.4,16.7,8.0,27.2,78.0,4.9,2.3,2.6,9.4,4.9,7.6,79.2,76.4
36059521302,Nassau County,New York,76.3,88.6,75.8,11.0,27.1,19.5,17.2,31.6,7.6,9.7,8.7,12.5,17.0,8.4,28.1,78.6,5.1,2.4,2.6,9.5,5.2,7.3,79.5,76.1
36059521400,Nassau County,New York,76.7,89.0,75.6,10.3,26.4,18.5,17.4,31.1,7.6,9.2,8.3,12.0,16.6,8.0,27.5,78.4,4.9,2.3,2.5,9.4,4.9,6.9,79.6,77.4
36059521500,Nassau County,New York,76.4,88.4,75.6,11.4,27.0,20.2,17.4,31.9,7.6,10.0,8.8,12.8,17.1,8.3,27.7,78.1,5.1,2.4,2.6,9.5,5.2,8.1,79.0,74.9
36059521601,Nassau County,New York,75.9,88.2,75.3,12.3,27.5,21.1,17.4,32.4,7.6,10.6,9.2,13.1,17.5,8.5,28.2,78.3,5.2,2.5,2.7,9.7,5.6,8.7,79.0,74.1
36059521602,Nassau County,New York,76.1,88.6,75.3,11.3,26.9,19.8,17.6,31.8,7.5,9.8,8.7,12.6,17.1,8.0,27.2,77.7,4.9,2.4,2.6,9.5,5.1,7.9,79.0,75.8
36059521700,Nassau County,New York,76.0,88.7,76.0,10.9,26.7,20.1,16.6,31.1,8.1,10.1,8.8,12.1,16.6,8.5,28.8,79.5,5.3,2.5,2.7,9.4,5.3,7.7,79.9,76.0
36059521801,Nassau County,New York,76.2,87.8,73.2,12.5,27.8,21.8,16.9,32.5,7.5,11.2,9.4,13.2,17.3,8.9,28.7,78.3,5.4,2.6,2.7,9.7,5.7,9.1,79.0,73.0
36059521802,Nassau County,New York,75.3,88.2,74.7,11.6,26.5,21.3,16.8,32.0,8.1,10.6,9.1,12.6,16.8,8.5,28.8,79.1,5.5,2.7,2.8,9.5,5.5,8.9,79.6,74.6
36059521902,Nassau County,New York,77.4,89.9,76.5,9.3,25.9,17.0,17.8,30.4,7.5,8.4,7.7,11.5,16.3,7.6,26.5,78.0,4.6,2.1,2.4,9.2,4.4,5.8,79.6,79.0
36059522000,Nassau County,New York,77.4,87.9,75.4,12.1,31.1,24.6,15.7,36.2,6.7,12.8,9.5,13.1,14.9,10.6,31.1,78.8,5.1,2.8,3.0,10.0,5.2,9.9,80.6,70.0
36059522700,Nassau County,New York,76.5,88.3,75.3,11.1,26.7,20.1,17.0,31.5,7.9,10.1,8.9,12.5,17.0,8.4,28.4,79.0,5.3,2.5,2.7,9.5,5.3,7.9,79.6,75.7
36059980100,Nassau County,New York,,72.1,,3.1,14.0,10.3,22.6,26.4,0.7,3.7,3.0,18.3,20.4,0.7,4.8,16.6,0.3,0.3,0.4,11.1,0.8,,72.9,82.3
36059981100,Nassau County,New York,55.9,68.2,87.9,5.3,17.1,14.7,23.7,32.2,0.7,5.3,4.1,21.7,21.0,1.0,6.2,18.8,0.4,0.4,0.5,11.5,1.2,9.1,72.0,75.4
36059982100,Nassau County,New York,64.5,70.5,77.5,5.4,19.2,15.4,23.5,34.1,0.7,5.9,4.2,21.2,19.1,1.2,7.3,21.0,0.5,0.4,0.6,11.7,1.2,6.9,73.4,74.0
36103110101,Suffolk County,New York,77.9,90.6,74.5,8.0,26.4,17.3,15.0,29.4,8.3,8.7,7.4,10.4,17.2,8.3,31.3,80.5,5.3,2.3,2.6,9.1,4.5,5.6,79.2,79.1
36103110102,Suffolk County,New York,77.3,90.2,74.4,8.7,26.3,17.7,15.7,29.9,7.8,8.8,7.4,11.1,17.9,7.8,29.7,79.1,5.0,2.2,2.5,9.3,4.5,6.1,78.1,78.2
36103110200,Suffolk County,New York,77.5,89.8,73.6,9.9,27.9,19.8,14.9,30.9,8.3,10.3,8.4,11.5,18.4,8.9,32.3,80.4,5.7,2.5,2.8,9.6,5.3,7.1,78.6,75.6
36103110300,Suffolk County,New York,77.5,89.7,74.4,9.4,27.4,19.1,15.1,30.5,8.2,9.8,8.1,11.3,18.0,8.7,31.8,80.2,5.6,2.5,2.7,9.4,5.1,6.8,78.5,76.4
36103110401,Suffolk County,New York,78.2,90.8,75.6,8.6,27.3,17.8,15.0,29.8,8.3,9.2,7.8,10.7,17.8,8.6,31.9,80.4,5.5,2.4,2.7,9.3,4.8,5.7,79.1,78.4
36103110402,Suffolk County,New York,76.7,90.2,73.7,9.9,27.7,18.7,15.8,31.1,7.8,9.4,7.9,11.6,18.5,8.1,30.3,78.9,5.1,2.3,2.5,9.5,4.9,6.7,78.1,77.0
36103110501,Suffolk County,New York,76.9,89.9,73.6,9.9,27.7,19.5,14.8,30.7,8.2,10.2,8.3,11.5,18.4,8.9,32.0,80.2,5.7,2.5,2.8,9.6,5.3,7.1,78.7,76.2
36103110502,Suffolk County,New York,77.3,90.3,73.8,9.0,27.1,17.7,16.2,30.8,7.4,8.8,7.4,11.4,18.1,7.6,28.9,77.8,4.7,2.1,2.4,9.4,4.3,6.3,77.6,77.6
36103110600,Suffolk County,New York,77.1,89.9,73.9,10.1,28.0,19.3,15.4,31.0,7.9,9.8,8.2,11.6,18.5,8.6,31.4,79.7,5.4,2.4,2.6,9.5,5.1,6.9,78.3,76.4
36103110801,Suffolk County,New York,77.0,90.1,74.7,9.4,27.7,19.1,14.6,30.4,8.7,9.8,8.2,11.1,17.9,9.1,33.2,81.3,5.8,2.5,2.8,9.4,5.2,6.4,79.6,77.6
36103110803,Suffolk County,New York,77.0,90.2,74.2,9.5,27.4,18.8,15.4,30.6,8.1,9.6,8.0,11.3,17.9,8.5,31.5,79.9,5.6,2.4,2.7,9.3,5.0,6.8,78.4,77.0
36103110901,Suffolk County,New York,77.1,89.8,74.7,10.1,27.3,18.4,17.1,31.4,6.7,9.4,7.5,12.3,18.9,7.4,27.6,75.9,4.5,2.1,2.3,9.6,4.5,7.1,75.8,74.8
36103110902,Suffolk County,New York,76.3,85.1,66.2,17.4,36.1,32.6,14.0,38.1,5.7,19.3,11.9,16.4,19.6,12.7,34.2,76.9,6.2,3.2,3.1,11.2,7.3,17.3,76.0,57.3
36103111001,Suffolk County,New York,77.0,89.9,73.7,10.0,28.1,20.3,15.6,32.3,7.5,10.3,8.0,12.2,18.1,8.5,30.3,78.4,5.1,2.5,2.7,9.7,4.8,7.9,77.6,74.2
36103111002,Suffolk County,New York,75.7,84.6,65.1,16.9,35.2,32.8,14.8,36.9,4.9,19.6,11.6,16.4,19.7,11.5,30.4,73.5,5.5,2.8,2.8,10.9,6.6,17.8,73.6,56.0
36103111100,Suffolk County,New York,76.3,84.2,63.7,16.5,35.1,33.2,15.2,37.6,4.4,19.3,11.2,16.6,19.2,11.0,29.1,72.3,4.9,2.6,2.7,10.9,5.9,18.9,73.2,55.4
36103111201,Suffolk County,New York,75.2,84.3,63.8,16.9,34.7,32.7,15.8,37.4,4.8,18.6,11.2,16.5,19.6,10.7,29.4,72.9,5.2,2.6,2.7,10.6,6.2,17.9,73.1,56.5
36103111202,Suffolk County,New York,75.6,87.5,69.1,12.9,29.8,24.2,16.2,33.9,6.0,12.8,9.0,13.8,19.2,8.6,28.1,75.0,4.8,2.3,2.5,10.0,5.3,10.9,74.9,68.3
36103111300,Suffolk County,New York,77.1,89.8,72.3,9.9,27.9,19.8,15.0,31.0,8.0,10.2,8.3,11.6,18.3,8.8,31.9,79.9,5.7,2.5,2.7,9.6,5.2,7.3,78.5,75.7
36103111401,Suffolk County,New York,77.6,89.1,72.8,10.7,28.6,20.8,15.2,32.2,7.5,11.0,8.5,12.0,18.0,9.3,31.9,79.4,5.5,2.5,2.7,9.6,5.3,8.0,77.9,73.9
36103111402,Suffolk County,New York,76.7,88.6,72.3,11.2,28.6,21.2,15.4,32.5,7.1,10.8,8.4,12.4,18.6,8.9,30.5,78.4,5.1,2.3,2.6,9.7,5.2,8.0,77.2,73.0
